Canucks,Sharks,1,3,5,False
Orioles,Predators,2,3,6,False
Marlins,Astros,3,6,1,False
Angels,Twins,4,5,2,False
Hornets,Bruins,5,1,4,False
Rockies,Panthers,6,3,2,False
Angels,Astros,7,4,6,False
Panthers,Sharks,8,2,1,False
Canucks,Twins,9,0,4,False
Hornets,Marlins,10,0,3,False
Predators,Bruins,11,4,6,False
Orioles,Rockies,12,2,1,True
Orioles,Sharks,13,1,2,False
Marlins,Predators,14,0,5,False
Panthers,Angels,15,1,2,True
Bruins,Hornets,16,3,0,False
Twins,Canucks,17,2,3,False
Astros,Rockies,18,1,5,False
Twins,Panthers,19,3,6,False
Predators,Marlins,20,0,4,False
Bruins,Orioles,21,4,6,False
Sharks,Angels,22,4,5,True
Rockies,Hornets,23,4,0,False
Astros,Canucks,24,4,0,False
Marlins,Sharks,25,1,5,False
Canucks,Angels,26,0,1,True
Twins,Hornets,27,2,3,False
Rockies,Orioles,28,5,1,False
Panthers,Astros,29,5,2,False
Predators,Bruins,30,1,0,True
Hornets,Sharks,31,4,1,False
Angels,Panthers,32,3,5,False
Canucks,Orioles,33,1,3,False
Predators,Astros,34,0,6,False
Rockies,Marlins,35,4,6,False
Bruins,Twins,36,5,1,False
Twins,Angels,37,1,5,False
Hornets,Panthers,38,1,6,False
Astros,Canucks,39,1,4,False
Sharks,Rockies,40,3,0,False
Predators,Orioles,41,1,3,False
Marlins,Bruins,42,5,0,False
Twins,Astros,43,6,4,False
Marlins,Orioles,44,2,1,False
Hornets,Rockies,45,2,0,False
Panthers,Sharks,46,4,0,False
Bruins,Canucks,47,5,4,False
Angels,Predators,48,1,4,False
Hornets,Rockies,49,6,3,False
Predators,Panthers,50,5,0,False
Canucks,Marlins,51,3,2,True
Twins,Astros,52,0,1,False
Angels,Bruins,53,2,1,True
Orioles,Sharks,54,1,5,False
Angels,Hornets,55,0,5,False
Canucks,Rockies,56,1,5,False
Marlins,Twins,57,5,1,False
Predators,Astros,58,2,0,False
Panthers,Sharks,59,1,6,False
Orioles,Bruins,60,5,1,False
Panthers,Angels,61,5,3,False
Rockies,Sharks,62,3,0,False
Astros,Twins,63,5,1,False
Hornets,Orioles,64,1,3,False
Predators,Marlins,65,0,5,False
Canucks,Bruins,66,5,0,False
Hornets,Orioles,67,0,3,False
Panthers,Rockies,68,4,3,True
Twins,Angels,69,4,6,False
Bruins,Astros,70,1,0,False
Canucks,Marlins,71,1,3,False
Sharks,Predators,72,6,0,False
Astros,Angels,73,5,1,False
Hornets,Sharks,74,0,1,True
Rockies,Twins,75,4,3,True
Predators,Marlins,76,3,2,True
Panthers,Bruins,77,1,3,False
Canucks,Orioles,78,6,3,False
Predators,Astros,79,0,1,False
Hornets,Orioles,80,2,4,False
Sharks,Twins,81,5,2,False
Panthers,Marlins,82,2,3,False
Bruins,Angels,83,3,0,False
Rockies,Canucks,84,1,2,False
Predators,Orioles,85,1,3,False
Canucks,Bruins,86,2,5,False
Sharks,Angels,87,0,4,False
Panthers,Marlins,88,6,4,False
Astros,Rockies,89,4,3,False
Twins,Hornets,90,1,4,False
Rockies,Bruins,91,2,0,False
Twins,Sharks,92,1,0,True
Canucks,Predators,93,3,5,False
Marlins,Orioles,94,2,4,False
Angels,Astros,95,6,5,False
Panthers,Hornets,96,6,0,False
Marlins,Astros,97,6,3,False
Angels,Bruins,98,1,3,False
Canucks,Predators,99,6,1,False
Orioles,Twins,100,3,5,False
Rockies,Hornets,101,3,6,False
Sharks,Panthers,102,6,5,False
Sharks,Panthers,103,4,3,False
Rockies,Bruins,104,5,3,False
Canucks,Hornets,105,2,5,False
Twins,Predators,106,0,3,False
Orioles,Astros,107,3,1,False
Marlins,Angels,108,2,5,False
Twins,Orioles,109,0,6,False
Marlins,Angels,110,6,4,False
Sharks,Predators,111,5,6,True
Panthers,Hornets,112,5,0,False
Rockies,Astros,113,5,1,False
Canucks,Bruins,114,5,6,True
Rockies,Canucks,115,4,6,False
Predators,Marlins,116,0,5,False
